image_file,label,score,x_min,y_min,x_max,y_max
Maciet_142-1_115.jpg,illustration,0.576,872.61,561.42,1755.11,1325.31
Maciet_142-1_115.jpg,illustration,0.412,648.79,223.04,4214.58,5539.15
Maciet_142-1_116.jpg,illustration,0.511,766.72,494.01,4144.42,3071.03
Maciet_142-1_117.jpg,illustration,0.506,1244.86,589.75,2485.37,1877.74
Maciet_142-1_117.jpg,illustration,0.463,2477.9,531.91,3556.21,1686.43
Maciet_142-1_117.jpg,illustration,0.454,1065.53,156.77,3801.6,2108.12
Maciet_142-2_001.jpg,illustration,0.704,1496.89,431.81,2918.97,2230.19
Maciet_142-2_002.jpg,illustration,0.632,2520.11,2654.65,3829.89,3491.69
Maciet_142-2_002.jpg,illustration,0.493,1807.57,494.11,2695.57,1816.71
Maciet_142-2_002.jpg,illustration,0.543,1107.83,2463.3,2089.38,3551.55
Maciet_142-2_003.jpg,illustration,0.683,2619.29,1575.21,3706.92,2691.7
Maciet_142-2_003.jpg,illustration,0.618,1369.54,1757.86,2265.01,2635.3
Maciet_142-2_003.jpg,illustration,0.603,1487.42,559.31,3293.05,1332.72
Maciet_142-2_004.jpg,illustration,0.411,2839.17,3750.11,3468.15,5229.42
Maciet_142-2_004.jpg,illustration,0.722,778.4,275.07,3738.69,3281.45
Maciet_142-2_004.jpg,illustration,0.406,1024.5,3762.23,2391.09,5092.31
Maciet_142-2_005.jpg,illustration,0.457,924.91,538.39,1897.76,1483.68
Maciet_142-2_005.jpg,illustration,0.42,875.94,473.69,1963.39,1780.18
Maciet_142-2_006.jpg,illustration,0.6,1825.08,540.91,2951.36,2317.87
Maciet_142-2_007.jpg,illustration,0.538,1637.09,1885.84,2892.11,3153.28
Maciet_142-2_007.jpg,illustration,0.491,1916.67,3729.77,2780.44,4592.94
Maciet_142-2_007.jpg,illustration,0.48,1070.36,3763.65,1896.7,4591.59
Maciet_142-2_007.jpg,illustration,0.46,2806.08,3761.12,3607.86,4568.31
Maciet_142-2_007.jpg,illustration,0.464,1732.47,704.14,2771.54,1763.93
Maciet_142-2_007.jpg,illustration,0.442,970.37,3560.43,3692.43,4819.92
Maciet_142-2_007.jpg,illustration,0.402,1454.8,543.43,3073.82,3332.6
Maciet_142-2_008.jpg,illustration,0.639,926.38,1183.68,3490.03,3784.44
Maciet_142-2_009.jpg,illustration,0.695,1594.54,488.15,3030.74,2501.22
Maciet_142-2_009.jpg,illustration,0.698,2670.83,2881.66,3808.87,4097.89
Maciet_142-2_009.jpg,illustration,0.686,1039.97,2853.95,2474.93,4317.04
Maciet_142-2_010.jpg,illustration,0.708,839.9,373.01,2285.07,1888.77
Maciet_142-2_010.jpg,illustration,0.71,1391.78,2883.02,3070.03,4552.22
Maciet_142-2_010.jpg,illustration,0.663,2431.49,250.03,4064.03,1901.61
Maciet_142-2_011.jpg,illustration,0.722,1605.51,508.11,3151.83,2226.03
Maciet_142-2_012.jpg,illustration,0.501,1278.28,497.71,2095.88,1345.19
Maciet_142-2_012.jpg,illustration,0.592,1069.45,364.83,4030.42,2661.92
Maciet_142-2_012.jpg,illustration,0.46,2149.33,971.51,3007.12,1838.23
Maciet_142-2_012.jpg,illustration,0.485,2995.61,438.58,3821.4,1273.2
Maciet_142-2_012.jpg,illustration,0.452,1307.3,1584.7,2197.1,2509.36
Maciet_142-2_012.jpg,illustration,0.443,2975.2,1578.56,3850.44,2456.77
Maciet_142-2_013.jpg,illustration,0.733,975.52,736.29,2023.01,2826.88
Maciet_142-2_014.jpg,illustration,0.697,866.33,3162.97,3837.09,4927.14
Maciet_142-2_014.jpg,illustration,0.565,658.22,409.56,2299.63,2440.22
Maciet_142-2_014.jpg,illustration,0.436,2387.24,370.12,4140.81,2416.9
Maciet_142-2_014.jpg,illustration,0.428,646.83,360.86,4153.52,2451.34
Maciet_142-2_015.jpg,illustration,0.599,3008.58,381.28,3864.25,2178.51
Maciet_142-2_015.jpg,illustration,0.621,620.17,377.24,2776.27,1588.39
Maciet_142-2_015.jpg,illustration,0.511,1852.14,1627.64,2784.34,2714.27
Maciet_142-2_016.jpg,illustration,0.682,1275.84,376.55,3318.32,2214.35
Maciet_142-2_016.jpg,illustration,0.591,1746.41,2471.14,2792.74,4205.22
Maciet_142-2_016.jpg,illustration,0.456,1346.94,632.77,1695.29,2028.89
Maciet_142-2_016.jpg,illustration,0.458,2894.74,652.55,3246.29,2054.71
Maciet_142-2_016.jpg,illustration,0.437,2129.17,1317.92,2456.99,1650.53
Maciet_142-2_016.jpg,illustration,0.421,1850.64,1406.43,2051.84,1667.77
Maciet_142-2_016.jpg,illustration,0.421,2499.28,1415.11,2772.88,1688.62
Maciet_142-2_017.jpg,illustration,0.516,1008.26,2755.79,3807.85,4730.65
Maciet_142-2_017.jpg,illustration,0.454,2088.27,936.36,2755.89,1901.16
Maciet_142-2_017.jpg,illustration,0.44,2015.39,2928.13,2737.87,4571.49
Maciet_142-2_017.jpg,illustration,0.475,3037.06,889.38,3695.8,1877.64
Maciet_142-2_017.jpg,illustration,0.448,976.93,504.51,3883.69,2232.08
Maciet_142-2_017.jpg,illustration,0.411,1136.32,935.89,1807.9,1912.49
Maciet_142-2_018.jpg,illustration,0.541,1776.37,452.85,2984.42,1878.19
Maciet_142-2_019.jpg,illustration,0.539,1253.98,572.37,2322.22,1645.58
Maciet_142-2_019.jpg,illustration,0.55,1228.12,1723.9,2292.46,2778.57
Maciet_142-2_020.jpg,illustration,0.675,1079.14,544.34,2085.82,2583.2
Maciet_142-2_021.jpg,illustration,0.65,871.06,503.01,1841.86,2156.96
Maciet_142-2_021.jpg,illustration,0.63,2306.01,555.54,3457.95,2093.6
Maciet_142-2_022.jpg,illustration,0.535,1342.69,700.72,2103.64,2031.31
Maciet_142-2_023.jpg,illustration,0.61,909.15,2172.39,2698.16,3851.6
Maciet_142-2_023.jpg,illustration,0.442,1926.46,555.49,2755.08,1720.35
Maciet_142-2_024.jpg,illustration,0.443,3159.89,861.47,3836.59,1978.14
Maciet_142-2_024.jpg,illustration,0.436,2093.08,656.11,2839.51,1897.96
Maciet_142-2_024.jpg,illustration,0.405,1501.07,2377.4,3274.44,4600.61
Maciet_142-2_024.jpg,illustration,0.408,1042.01,855.06,1798.98,2018.52
Maciet_142-2_025.jpg,illustration,0.55,1758.87,3082.47,2754.32,4891.3
Maciet_142-2_025.jpg,illustration,0.421,2420.87,456.67,3476.83,2689.6
Maciet_142-2_025.jpg,illustration,0.402,794.94,3075.38,1675.06,3886.38
Maciet_142-2_026.jpg,illustration,0.543,1987.8,962.5,2903.56,2168.57
Maciet_142-2_026.jpg,illustration,0.552,1035.88,885.03,1815.94,2188.42
Maciet_142-2_026.jpg,illustration,0.513,3008.86,843.12,3795.59,2146.48
Maciet_142-2_026.jpg,illustration,0.527,1012.19,2536.58,1741.05,4083.65
Maciet_142-2_026.jpg,illustration,0.513,2124.55,2521.56,2967.29,4057.03
Maciet_142-2_027.jpg,illustration,0.686,929.28,808.44,2276.84,2207.44
Maciet_142-2_027.jpg,illustration,0.649,1068.97,2334.54,2346.99,4097.68
Maciet_142-2_027.jpg,illustration,0.587,2456.59,743.55,3846.53,2134.99
Maciet_142-2_027.jpg,illustration,0.536,2821.4,2346.72,3597.4,3628.7
Maciet_142-2_028.jpg,illustration,0.674,2245.08,2326.6,3545.14,3642.1
Maciet_142-2_028.jpg,illustration,0.607,660.31,293.5,1809.73,1506.96
Maciet_142-2_028.jpg,illustration,0.632,649.76,2005.42,1887.39,3297.15
Maciet_142-2_028.jpg,illustration,0.581,2208.17,4066.55,3420.16,5255.76
Maciet_142-2_028.jpg,illustration,0.63,733.52,3810.43,1963.17,5052.01
Maciet_142-2_028.jpg,illustration,0.566,2248.46,262.71,3591.47,1673.4
Maciet_142-2_029.jpg,illustration,0.408,305.79,140.78,4248.06,5617.79
Maciet_142-2_029.jpg,illustration,0.406,1583.06,871.42,2964.84,3070.74
Maciet_142-2_029.jpg,illustration,0.479,1287.4,621.9,3246.7,3277.99
Maciet_142-2_030.jpg,illustration,0.793,869.23,469.13,3585.32,2202.66
Maciet_142-2_030.jpg,illustration,0.447,1845.61,2985.11,2693.12,5055.38
Maciet_142-2_031.jpg,illustration,0.491,1059.3,773.6,3729.41,3555.97
Maciet_142-2_032.jpg,illustration,0.573,1263.96,758.7,3504.05,3567.94
Maciet_142-2_033.jpg,illustration,0.477,1359.24,1080.35,3589.6,3358.69
Maciet_142-2_034.jpg,illustration,0.693,1269.79,631.23,3566.41,3532.22
Maciet_142-2_035.jpg,illustration,0.442,1194.83,940.95,3484.7,4279.19
Maciet_142-2_036.jpg,illustration,0.535,1667.82,2156.69,3405.23,3894.51
Maciet_142-2_036.jpg,illustration,0.435,1936.13,777.43,2598.92,1880.48
Maciet_142-2_036.jpg,illustration,0.45,1033.96,505.07,1771.5,1759.23
Maciet_142-2_036.jpg,illustration,0.409,2004.56,855.98,2540.6,1777.74
Maciet_142-2_037.jpg,illustration,0.567,982.37,3196.97,2142.32,4359.84
Maciet_142-2_037.jpg,illustration,0.564,2178.99,3202.74,3404.22,4396.28
Maciet_142-2_037.jpg,illustration,0.573,915.7,557.67,3551.66,2610.73
Maciet_142-2_038.jpg,illustration,0.624,994.35,1145.99,3339.36,3489.01
Maciet_142-2_039.jpg,illustration,0.613,2754.81,287.89,4009.18,1572.97
Maciet_142-2_039.jpg,illustration,0.571,652.09,2539.24,1466.32,3372.3
Maciet_142-2_039.jpg,illustration,0.539,1324.5,1947.72,2159.93,2793.97
Maciet_142-2_039.jpg,illustration,0.537,2108.18,2549.74,2877.14,3320.21
Maciet_142-2_039.jpg,illustration,0.534,576.17,769.92,1527.89,1776.09
Maciet_142-2_039.jpg,illustration,0.523,1592.53,744.04,2599.65,1766.72
Maciet_142-2_039.jpg,illustration,0.454,675.0,3671.48,1962.91,5016.68
Maciet_142-2_040.jpg,illustration,0.706,788.55,439.64,2534.81,2711.07
Maciet_142-2_040.jpg,illustration,0.64,816.89,2855.84,1754.99,4690.56
Maciet_142-2_040.jpg,illustration,0.561,2633.73,277.8,3756.62,1789.88
