idx1,idx2,file1,file2,distance
68,1981,GazetteDrouot_5424025_05_01.pt,GazetteDrouot_5424025_04_01.pt,0.0
95,1013,GazetteDrouot_15511693_01_01.pt,GazetteDrouot_16465688_01_01.pt,0.0
206,440,GazetteDrouot_21001152_03_01.pt,GazetteDrouot_17968923_03_01.pt,0.0
306,872,Christies_2021-09-30_296_01_02.pt,Christies_2021-09-30_296_03_02.pt,0.0
409,1077,GazetteDrouot_18793404_01_01.pt,GazetteDrouot_17582345_01_01.pt,0.0
440,440,GazetteDrouot_17968923_03_01.pt,GazetteDrouot_17968923_03_01.pt,0.0
517,865,GazetteDrouot_21630729_03_01.pt,GazetteDrouot_21174049_03_01.pt,0.0
545,1159,GazetteDrouot_22542437_02_01.pt,GazetteDrouot_21468490_02_01.pt,0.0
552,1210,GazetteDrouot_19297204_02_02.pt,GazetteDrouot_20473491_02_02.pt,0.0
554,583,GazetteDrouot_21001152_01_01.pt,GazetteDrouot_17968923_01_01.pt,0.0
574,1564,GazetteDrouot_18793404_02_01.pt,GazetteDrouot_17582345_02_01.pt,0.0
583,583,GazetteDrouot_17968923_01_01.pt,GazetteDrouot_17968923_01_01.pt,0.0
630,753,GazetteDrouot_21630729_02_02.pt,GazetteDrouot_21174049_02_02.pt,0.0
661,1450,GazetteDrouot_20392993_01_01.pt,GazetteDrouot_18414630_01_01.pt,0.0
685,720,GazetteDrouot_23448299_02_01.pt,GazetteDrouot_20835052_02_01.pt,0.0
720,720,GazetteDrouot_20835052_02_01.pt,GazetteDrouot_20835052_02_01.pt,0.0
728,1540,GazetteDrouot_21468489_01_01.pt,GazetteDrouot_22542436_01_01.pt,0.0
742,1108,GazetteDrouot_21001152_04_01.pt,GazetteDrouot_17968923_04_01.pt,0.0
753,753,GazetteDrouot_21174049_02_02.pt,GazetteDrouot_21174049_02_02.pt,0.0
789,1221,GazetteDrouot_21630729_04_01.pt,GazetteDrouot_21174049_04_01.pt,0.0
809,1357,GazetteDrouot_29715861_01_01.pt,GazetteDrouot_27808358_01_01.pt,0.0
836,2074,GazetteDrouot_20473491_01_01.pt,GazetteDrouot_19297204_01_01.pt,0.0
837,2075,GazetteDrouot_20473491_01_02.pt,GazetteDrouot_19297204_01_02.pt,0.0
865,865,GazetteDrouot_21174049_03_01.pt,GazetteDrouot_21174049_03_01.pt,0.0
868,1158,GazetteDrouot_7304281_01_01.pt,GazetteDrouot_7165974_01_01.pt,0.0
872,872,Christies_2021-09-30_296_03_02.pt,Christies_2021-09-30_296_03_02.pt,0.0
879,720,GazetteDrouot_18882041_02_01.pt,GazetteDrouot_20835052_02_01.pt,0.0
1013,1013,GazetteDrouot_16465688_01_01.pt,GazetteDrouot_16465688_01_01.pt,0.0
1015,1574,GazetteDrouot_24912668_02_01.pt,GazetteDrouot_26732676_02_01.pt,0.0
1077,1077,GazetteDrouot_17582345_01_01.pt,GazetteDrouot_17582345_01_01.pt,0.0
1108,1108,GazetteDrouot_17968923_04_01.pt,GazetteDrouot_17968923_04_01.pt,0.0
1145,1350,GazetteDrouot_21174049_06_01.pt,GazetteDrouot_21630729_06_01.pt,0.0
1158,1158,GazetteDrouot_7165974_01_01.pt,GazetteDrouot_7165974_01_01.pt,0.0
1159,1159,GazetteDrouot_21468490_02_01.pt,GazetteDrouot_21468490_02_01.pt,0.0
1210,1210,GazetteDrouot_20473491_02_02.pt,GazetteDrouot_20473491_02_02.pt,0.0
1221,1221,GazetteDrouot_21174049_04_01.pt,GazetteDrouot_21174049_04_01.pt,0.0
1243,2102,GazetteDrouot_21825606_01_01.pt,GazetteDrouot_23898380_01_01.pt,0.0
1280,2067,GazetteDrouot_21174049_05_01.pt,GazetteDrouot_21630729_05_01.pt,0.0
1350,1350,GazetteDrouot_21630729_06_01.pt,GazetteDrouot_21630729_06_01.pt,0.0
1357,1357,GazetteDrouot_27808358_01_01.pt,GazetteDrouot_27808358_01_01.pt,0.0
1450,1450,GazetteDrouot_18414630_01_01.pt,GazetteDrouot_18414630_01_01.pt,0.0
1540,1540,GazetteDrouot_22542436_01_01.pt,GazetteDrouot_22542436_01_01.pt,0.0
1564,1564,GazetteDrouot_17582345_02_01.pt,GazetteDrouot_17582345_02_01.pt,0.0
1574,1574,GazetteDrouot_26732676_02_01.pt,GazetteDrouot_26732676_02_01.pt,0.0
1654,1942,GazetteDrouot_22210569_01_01.pt,GazetteDrouot_23842390_01_01.pt,0.0
1942,1942,GazetteDrouot_23842390_01_01.pt,GazetteDrouot_23842390_01_01.pt,0.0
1981,1981,GazetteDrouot_5424025_04_01.pt,GazetteDrouot_5424025_04_01.pt,0.0
2025,2046,GazetteDrouot_21630729_01_01.pt,GazetteDrouot_21174049_01_01.pt,0.0
2046,2046,GazetteDrouot_21174049_01_01.pt,GazetteDrouot_21174049_01_01.pt,0.0
2067,2067,GazetteDrouot_21630729_05_01.pt,GazetteDrouot_21630729_05_01.pt,0.0
2074,2074,GazetteDrouot_19297204_01_01.pt,GazetteDrouot_19297204_01_01.pt,0.0
2075,2075,GazetteDrouot_19297204_01_02.pt,GazetteDrouot_19297204_01_02.pt,0.0
2102,2102,GazetteDrouot_23898380_01_01.pt,GazetteDrouot_23898380_01_01.pt,0.0
