,query,neighbor_1,distance_1
0,GazetteDrouot_22972746_11_02.pt,GazetteDrouot_22972746_11_01.pt,0.14138055
1,GazetteDrouot_22964295_02_01.pt,GazetteDrouot_29526348_04_01.pt,0.03642261
2,GazetteDrouot_22964295_05_01.pt,GazetteDrouot_22964295_03_01.pt,0.17902017
3,GazetteDrouot_18040375_02_01.pt,GazetteDrouot_18040375_01_01.pt,0.22700381
4,GazetteDrouot_9674026_01_01.pt,GazetteDrouot_9674026_04_01.pt,0.022959232
5,GazetteDrouot_9674026_03_01.pt,GazetteDrouot_9674026_02_01.pt,0.030780077
6,GazetteDrouot_27275011_01_01.pt,MADD_78--2--10_01_01.pt,0.22092724
7,GazetteDrouot_26963559_01_01.pt,Christies_2018-04-26_234_02_01.pt,0.22014296
8,GazetteDrouot_24273572_01_01.pt,GazetteDrouot_24273572_04_01.pt,0.043035984
9,GazetteDrouot_24273572_04_01.pt,GazetteDrouot_24273572_01_01.pt,0.043035984
10,GazetteDrouot_20331145_01_01.pt,GazetteDrouot_20331145_02_01.pt,0.22694778
11,GazetteDrouot_20331145_02_01.pt,GazetteDrouot_29801582_01_01.pt,0.2046969
12,GazetteDrouot_14297883_01_01.pt,GazetteDrouot_14297883_02_01.pt,0.22308278
13,GazetteDrouot_9662170_01_01.pt,GazetteDrouot_6968106_01_01.pt,0.13106012
14,GazetteDrouot_9129627_01_01.pt,GazetteDrouot_5211586_01_01.pt,0.7451643
15,GazetteDrouot_17988714_01_01.pt,GazetteDrouot_46969_01_01.pt,0.5052178
16,GazetteDrouot_407607_01_01.pt,GazetteDrouot_2181064_01_01.pt,0.314214
17,GazetteDrouot_29647152_01_01.pt,GazetteDrouot_21908287_01_02.pt,0.041429758
18,GazetteDrouot_29647152_01_02.pt,GazetteDrouot_27352771_01_01.pt,0.2479366
19,GazetteDrouot_26623358_01_01.pt,GazetteDrouot_26623358_02_01.pt,0.1741488
20,GazetteDrouot_24333114_01_01.pt,GazetteDrouot_24333114_01_03.pt,0.45045757
