epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.0128,0.33389,0.96809,1,0.11497,0.000543844,0.000543844,0.000543844
2,17.8779,0.15838,0.93617,1,0.99944,0.00106323,0.00106323,0.00106323
3,27.5754,0.2301,0.93617,1,0.32978,0.00154594,0.00154594,0.00154594
4,36.4285,0.22802,0.94149,1,0.18498,0.00150197,0.00150197,0.00150197
5,45.4029,0.2142,0.97872,1,0.1104,0.00144696,0.00144696,0.00144696
6,56.9569,0.1858,0.96809,1,0.07207,0.00139195,0.00139195,0.00139195
7,65.5698,0.20063,0.99468,1,0.07511,0.00133693,0.00133693,0.00133693
8,75.0026,0.14045,0.97872,1,0.09513,0.00128192,0.00128192,0.00128192
9,86.0863,0.14275,0.98404,1,0.05871,0.00122691,0.00122691,0.00122691
10,94.5557,0.12462,0.96809,1,0.10793,0.0011719,0.0011719,0.0011719
11,103.466,0.08871,0.96809,1,0.06575,0.00111689,0.00111689,0.00111689
12,113.736,0.09444,0.9734,1,0.07236,0.00106188,0.00106188,0.00106188
13,121.268,0.09497,0.98404,1,0.03843,0.00100687,0.00100687,0.00100687
14,132.068,0.06599,0.98936,1,0.03467,0.000951857,0.000951857,0.000951857
15,141.551,0.08793,0.96809,1,0.12818,0.000896846,0.000896846,0.000896846
16,150.038,0.07685,0.98404,1,0.09376,0.000841835,0.000841835,0.000841835
17,159.958,0.06803,0.97872,1,0.08322,0.000786824,0.000786824,0.000786824
18,168.576,0.06437,0.96809,1,0.13111,0.000731813,0.000731813,0.000731813
19,177.534,0.07133,0.97872,1,0.08278,0.000676802,0.000676802,0.000676802
20,187.751,0.05656,0.97872,1,0.10248,0.000621791,0.000621791,0.000621791
21,197.862,0.05975,0.97872,1,0.07333,0.00056678,0.00056678,0.00056678
22,205.957,0.04396,0.97872,1,0.08891,0.000511769,0.000511769,0.000511769
23,215.339,0.07167,0.97872,1,0.11377,0.000456758,0.000456758,0.000456758
24,223.095,0.02969,0.97872,1,0.08942,0.000401747,0.000401747,0.000401747
25,232.49,0.05103,0.97872,1,0.0741,0.000346736,0.000346736,0.000346736
26,240.705,0.06047,0.97872,1,0.07774,0.000291725,0.000291725,0.000291725
27,250.307,0.02953,0.97872,1,0.06814,0.000236714,0.000236714,0.000236714
28,259.716,0.05608,0.98936,1,0.07909,0.000181703,0.000181703,0.000181703
29,267.351,0.0416,0.9734,1,0.07943,0.000126692,0.000126692,0.000126692
30,276.814,0.02521,0.9734,1,0.07985,7.1681e-05,7.1681e-05,7.1681e-05
