epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5685,1.07162,1.93626,1.17925,0.52025,0.64876,0.55389,0.32448,1.4306,3.64486,1.72905,0.00042,0.00042,0.00042
2,34.995,1.07391,1.22802,1.21553,0.00327,0.10331,0.00181,0.00042,4.38569,30.9383,24.7878,0.000847837,0.000847837,0.000847837
3,52.0126,1.16161,1.15465,1.26473,0,0,0,0,nan,nan,nan,0.00126323,0.00126323,0.00126323
4,68.2565,1.19028,1.34886,1.32037,0.00495,0.11157,0.00261,0.00092,nan,nan,nan,0.00166617,0.00166617,0.00166617
5,85.2905,1.11907,1.18552,1.25517,0.00314,0.0124,0.00065,0.00022,nan,nan,nan,0.00188686,0.00188686,0.00188686
6,101.78,1.14385,1.1386,1.27867,0.03136,0.04132,0.00709,0.00334,nan,nan,nan,0.00185857,0.00185857,0.00185857
7,118.324,1.12023,1.01262,1.25638,0.06852,0.11157,0.01597,0.00644,3.4621,6.7585,5.07161,0.00183029,0.00183029,0.00183029
8,135.062,1.06307,0.97014,1.21404,0.06725,0.10331,0.01531,0.00652,3.10236,7.18154,3.5974,0.001802,0.001802,0.001802
9,152.647,1.04603,0.98088,1.23392,0.15834,0.15004,0.04612,0.02493,2.57485,5.28968,2.36828,0.00177371,0.00177371,0.00177371
10,169.839,1.01993,0.93177,1.18211,0.60296,0.40083,0.474,0.26847,1.7949,1.87964,2.26273,0.00174543,0.00174543,0.00174543
11,186.973,0.98095,0.84661,1.19849,0.6462,0.7472,0.67217,0.45342,1.15156,1.45519,1.42393,0.00171714,0.00171714,0.00171714
12,204.98,1.00162,0.89657,1.18219,0.45811,0.35124,0.30308,0.16851,1.83293,2.70331,2.22003,0.00168886,0.00168886,0.00168886
13,221.538,0.96585,0.87344,1.17063,0.36157,0.45041,0.33103,0.16767,1.44496,3.57737,1.61164,0.00166057,0.00166057,0.00166057
14,238.226,0.95587,0.776,1.15045,0.45996,0.38011,0.29699,0.19161,1.47422,3.25653,1.57428,0.00163229,0.00163229,0.00163229
15,254.891,0.93093,1.40689,1.14986,0.59922,0.7562,0.69966,0.50646,0.94816,1.30998,1.20714,0.001604,0.001604,0.001604
16,273.171,0.92481,0.77852,1.14854,0.47605,0.24405,0.27719,0.14885,2.13501,2.94658,2.33924,0.00157571,0.00157571,0.00157571
17,288.905,0.91519,0.81776,1.14768,0.48776,0.33446,0.34804,0.22347,1.65415,2.44201,2.05261,0.00154743,0.00154743,0.00154743
18,305.642,0.91944,0.82069,1.14261,0.65451,0.51653,0.60158,0.41182,1.14376,1.4751,1.40609,0.00151914,0.00151914,0.00151914
19,321.261,0.86925,0.7674,1.11885,0.55614,0.5281,0.48367,0.31919,1.24046,1.5814,1.35722,0.00149086,0.00149086,0.00149086
20,336.974,0.85524,0.7259,1.10855,0.72053,0.91736,0.79805,0.59452,0.8906,0.94024,1.12097,0.00146257,0.00146257,0.00146257
21,353.529,0.86473,0.74204,1.10935,0.71178,0.86364,0.73777,0.5533,0.85727,1.18706,1.10626,0.00143429,0.00143429,0.00143429
22,369.65,0.82395,0.73572,1.0834,0.6453,0.87957,0.73288,0.52941,0.9388,1.19003,1.18397,0.001406,0.001406,0.001406
23,386.068,0.90006,0.7382,1.10638,0.69093,0.60969,0.64433,0.43222,1.22585,1.21718,1.36527,0.00137771,0.00137771,0.00137771
24,403.087,0.80709,0.68366,1.07578,0.74826,0.61157,0.67134,0.45788,1.17922,1.21208,1.3938,0.00134943,0.00134943,0.00134943
25,420.027,0.80709,0.66471,1.07065,0.64994,0.74421,0.7199,0.49986,1.02282,1.01571,1.24329,0.00132114,0.00132114,0.00132114
26,438.152,0.82657,0.67129,1.05819,0.71057,0.85537,0.74494,0.5621,0.88433,0.93812,1.13015,0.00129286,0.00129286,0.00129286
27,455.08,0.78181,0.65021,1.06835,0.74716,0.8719,0.80036,0.60165,0.88548,0.78425,1.13424,0.00126457,0.00126457,0.00126457
28,472.938,0.77627,0.65192,1.07663,0.64157,0.52066,0.55424,0.40008,1.14646,1.41894,1.38936,0.00123629,0.00123629,0.00123629
29,490.942,0.80103,0.65432,1.06699,0.76941,0.77686,0.79394,0.58586,0.9496,0.83276,1.18189,0.001208,0.001208,0.001208
30,507.409,0.83561,0.67105,1.06631,0.74481,0.89256,0.79259,0.59651,0.84614,0.82957,1.0779,0.00117971,0.00117971,0.00117971
31,524.127,0.80172,0.6194,1.07889,0.74516,0.88843,0.84542,0.64648,0.86325,0.75259,1.07637,0.00115143,0.00115143,0.00115143
32,540.174,0.76676,0.63317,1.0513,0.79243,0.7438,0.79021,0.55959,1.01103,0.93559,1.18605,0.00112314,0.00112314,0.00112314
33,556.439,0.79155,0.65394,1.06555,0.72999,0.88843,0.79003,0.6142,0.77912,0.80985,1.05376,0.00109486,0.00109486,0.00109486
34,572.645,0.7678,0.63131,1.04032,0.69209,0.83591,0.73956,0.5572,0.85854,0.84517,1.10503,0.00106657,0.00106657,0.00106657
35,588.466,0.75397,0.5876,1.03766,0.76267,0.81405,0.81599,0.62139,0.86743,0.83897,1.10144,0.00103829,0.00103829,0.00103829
36,604.261,0.78774,0.62425,1.04822,0.7252,0.87603,0.79851,0.6202,0.80947,0.8303,1.08789,0.00101,0.00101,0.00101
37,621.354,0.81144,0.62571,1.06789,0.70537,0.90909,0.78819,0.60789,0.83503,0.8974,1.09035,0.000981714,0.000981714,0.000981714
38,638.216,0.72502,0.56429,1.0284,0.73679,0.88017,0.8121,0.62888,0.82843,0.7717,1.06669,0.000953429,0.000953429,0.000953429
39,654.491,0.7618,0.59441,1.04791,0.74153,0.90909,0.78414,0.6057,0.80994,0.79,1.05166,0.000925143,0.000925143,0.000925143
40,671.09,0.71549,0.58636,1.02968,0.68479,0.76446,0.72872,0.534,0.93727,0.98191,1.16131,0.000896857,0.000896857,0.000896857
41,688.82,0.70259,0.56219,1.02065,0.7063,0.93412,0.81003,0.61659,0.83848,0.78852,1.08909,0.000868571,0.000868571,0.000868571
42,704.68,0.73408,0.61233,1.02512,0.74461,0.90496,0.82574,0.64964,0.81323,0.7653,1.06082,0.000840286,0.000840286,0.000840286
43,721.422,0.70538,0.55249,1.00949,0.7388,0.85124,0.83336,0.64268,0.82053,0.77458,1.07799,0.000812,0.000812,0.000812
44,738.468,0.74533,0.56046,1.02911,0.76407,0.90999,0.83708,0.63059,0.86396,0.71005,1.10207,0.000783714,0.000783714,0.000783714
45,755.469,0.73648,0.55176,1.0344,0.65648,0.86078,0.75163,0.56691,0.87664,0.97886,1.13121,0.000755429,0.000755429,0.000755429
46,772.291,0.73201,0.57267,1.0346,0.77177,0.92226,0.84889,0.6699,0.81287,0.63678,1.0616,0.000727143,0.000727143,0.000727143
47,789.873,0.7457,0.56011,1.02218,0.76927,0.90928,0.85541,0.67493,0.80404,0.68115,1.07056,0.000698857,0.000698857,0.000698857
48,806.733,0.66274,0.54017,0.99944,0.74314,0.89256,0.83233,0.63184,0.84568,0.79338,1.09243,0.000670571,0.000670571,0.000670571
49,823.969,0.6912,0.51422,1.01737,0.73776,0.91736,0.83344,0.66154,0.76547,0.72116,1.03296,0.000642286,0.000642286,0.000642286
50,840.524,0.69198,0.53549,1.04085,0.7302,0.91705,0.82687,0.64143,0.7872,0.75409,1.04022,0.000614,0.000614,0.000614
51,858.622,0.67099,0.58518,0.99888,0.75144,0.92562,0.84443,0.65727,0.79763,0.72158,1.05905,0.000585714,0.000585714,0.000585714
52,874.918,0.67616,0.52791,1.01487,0.73076,0.96455,0.84116,0.6797,0.73537,0.66212,1.01775,0.000557429,0.000557429,0.000557429
53,891.993,0.64304,0.51239,0.99473,0.77875,0.87265,0.84624,0.6722,0.73574,0.71465,1.01069,0.000529143,0.000529143,0.000529143
54,908.578,0.63488,0.51315,1.00399,0.75696,0.92149,0.8393,0.66921,0.74277,0.70416,1.02899,0.000500857,0.000500857,0.000500857
55,925.038,0.66961,0.50883,1.02606,0.71697,0.91071,0.81173,0.62901,0.79402,0.79708,1.07112,0.000472571,0.000472571,0.000472571
56,940.722,0.64554,0.49955,0.98309,0.78189,0.90083,0.81493,0.64099,0.78611,0.72143,1.04353,0.000444286,0.000444286,0.000444286
57,957.146,0.64477,0.49584,0.97746,0.77976,0.92562,0.81381,0.64943,0.76506,0.67767,1.02681,0.000416,0.000416,0.000416
58,974.326,0.6226,0.45951,0.98698,0.78178,0.91782,0.84983,0.68126,0.7571,0.66514,1.02481,0.000387714,0.000387714,0.000387714
59,992.593,0.59953,0.45035,0.96463,0.78203,0.91918,0.84817,0.67429,0.75552,0.67849,1.02448,0.000359429,0.000359429,0.000359429
60,1009.37,0.60645,0.45995,0.98141,0.78456,0.93297,0.85273,0.68184,0.75288,0.62713,1.00601,0.000331143,0.000331143,0.000331143
61,1027.25,0.64795,0.4609,0.98907,0.80545,0.88962,0.84186,0.68957,0.73253,0.62026,1.006,0.000302857,0.000302857,0.000302857
62,1043.87,0.58344,0.40456,0.93092,0.77565,0.95041,0.85306,0.70495,0.70519,0.61387,0.99915,0.000274571,0.000274571,0.000274571
63,1060.71,0.59539,0.41452,0.98104,0.76027,0.91735,0.84801,0.68056,0.74926,0.6898,1.02118,0.000246286,0.000246286,0.000246286
64,1078.28,0.63335,0.41921,1.00989,0.76278,0.91683,0.84753,0.68833,0.72956,0.67245,1.00612,0.000218,0.000218,0.000218
65,1095.48,0.57917,0.38001,0.94092,0.74445,0.92149,0.83936,0.68975,0.72403,0.65162,1.00493,0.000189714,0.000189714,0.000189714
66,1112.02,0.63463,0.50975,0.98302,0.76012,0.91736,0.84104,0.68489,0.72098,0.6598,0.9978,0.000161429,0.000161429,0.000161429
67,1127.66,0.574,0.37576,0.92736,0.77903,0.91322,0.83821,0.68579,0.7091,0.66588,1.00049,0.000133143,0.000133143,0.000133143
68,1143.94,0.54934,0.35704,0.93673,0.7791,0.93277,0.84624,0.69074,0.72979,0.65725,1.01747,0.000104857,0.000104857,0.000104857
69,1159.96,0.57058,0.37104,0.95143,0.77846,0.9293,0.84943,0.68854,0.73304,0.65524,1.01241,7.65714e-05,7.65714e-05,7.65714e-05
70,1176.92,0.56466,0.39177,0.94533,0.77519,0.92975,0.85569,0.70449,0.71131,0.64685,0.99732,4.82857e-05,4.82857e-05,4.82857e-05
