epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.66361,0.72573,0.53333,1,0.72119,5.001e-05,5.001e-05,5.001e-05
2,9.83541,0.49973,0.93333,1,0.34595,0.000113802,0.000113802,0.000113802
3,12.4304,0.19504,0.93333,1,0.13818,0.000174293,0.000174293,0.000174293
4,16.5909,0.07457,1,1,0.03525,0.000231484,0.000231484,0.000231484
5,20.906,0.09499,1,1,0.01292,0.000285374,0.000285374,0.000285374
6,23.6707,0.03301,1,1,0.01653,0.000335963,0.000335963,0.000335963
7,26.1853,0.13455,1,1,0.01526,0.000383252,0.000383252,0.000383252
8,29.5933,0.04,0.93333,1,0.146,0.00042724,0.00042724,0.00042724
9,32.7348,0.03209,0.93333,1,0.41382,0.000467927,0.000467927,0.000467927
10,35.1079,0.01217,0.93333,1,0.39575,0.000505314,0.000505314,0.000505314
11,37.5196,0.00835,0.93333,1,0.38428,0.0005394,0.0005394,0.0005394
12,39.9053,0.00486,0.93333,1,0.30762,0.000570185,0.000570185,0.000570185
13,42.4765,0.00546,0.93333,1,0.15942,0.00059767,0.00059767,0.00059767
14,46.1945,0.02176,0.93333,1,0.11475,0.000621854,0.000621854,0.000621854
15,48.7618,0.02884,1,1,0.05658,0.000642737,0.000642737,0.000642737
16,51.2574,0.00514,0.93333,1,0.11841,0.00066032,0.00066032,0.00066032
17,53.5837,0.00316,0.93333,1,0.14355,0.000674602,0.000674602,0.000674602
18,55.9362,0.03561,0.86667,1,0.48535,0.000685583,0.000685583,0.000685583
19,59.2892,0.04946,0.86667,1,1.02051,0.000693264,0.000693264,0.000693264
20,62.6323,0.05469,0.86667,1,0.93848,0.000697644,0.000697644,0.000697644
21,65.1479,0.04467,0.93333,1,0.50439,0.000698723,0.000698723,0.000698723
22,67.6121,0.00513,0.93333,1,0.35962,0.000696502,0.000696502,0.000696502
23,70.065,0.01557,0.93333,1,0.15247,0.00069098,0.00069098,0.00069098
24,73.1944,0.01823,1,1,0.04898,0.000682157,0.000682157,0.000682157
25,76.9333,0.00754,1,1,0.02345,0.000670034,0.000670034,0.000670034
26,79.3522,0.01409,1,1,0.02071,0.000635544,0.000635544,0.000635544
27,81.8193,0.05655,0.93333,1,0.05798,0.000594286,0.000594286,0.000594286
28,84.1777,0.00812,0.93333,1,0.24036,0.000553027,0.000553027,0.000553027
29,86.9844,0.01195,0.93333,1,0.43213,0.000511769,0.000511769,0.000511769
30,90.9295,0.00233,0.93333,1,0.62988,0.000470511,0.000470511,0.000470511
31,95.3046,0.09603,0.93333,1,0.44702,0.000429253,0.000429253,0.000429253
32,97.7389,0.00187,0.93333,1,0.35596,0.000387994,0.000387994,0.000387994
33,100.045,0.01296,0.93333,1,0.2959,0.000346736,0.000346736,0.000346736
34,103.671,0.02377,0.86667,1,0.20276,0.000305478,0.000305478,0.000305478
35,106.336,0.00424,0.86667,1,0.15393,0.00026422,0.00026422,0.00026422
36,108.636,0.00789,0.93333,1,0.1532,0.000222961,0.000222961,0.000222961
37,111.149,0.00212,0.93333,1,0.16565,0.000181703,0.000181703,0.000181703
38,113.557,0.05986,0.93333,1,0.13489,0.000140445,0.000140445,0.000140445
39,116.623,0.00652,0.93333,1,0.12756,9.91865e-05,9.91865e-05,9.91865e-05
40,119.856,0.00372,0.93333,1,0.12915,5.79283e-05,5.79283e-05,5.79283e-05
