,Description,Vente,Loc,Date_str,Date_iso,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error
0,"A Dog Tile and Three Floral Tiles,",Modern Design,Marlborough,21 February 2024,2024-02-21,128,"['https://images2.bonhams.com/image?src=Images/live/2023-11/28/189054-244-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/28/189054-244-1.jpg']",Longwy,https://www.bonhams.com/auction/29563/lot/128/a-dog-tile-and-three-floral-tiles-priam-longwy-france-c-1900-molded-mark-tile-with-arabesque-and-tile-with-vase-of-lilies-minton-hollins-and-co-stoke-on-trent-c-1880-molded-markers-marks-tile-with-single-flower-unmarked-tiles-8-x-8-frames-9-14-x-9-14-in/,Bonhams,Bonhams_2024-02-21_128,"['Bonhams_2024-02-21_128_01.jpg', 'Bonhams_2024-02-21_128_02.jpg']",
1,"Pair of Longwy Pottery Vases and Stands,",European Décor & Design | Bonhams Skinner,Marlborough,20 April 2023,2023-04-20,1158,"['https://images2.bonhams.com/image?src=Images/live/2023-03/06/186897-3-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-03/06/186897-3-1.jpg']",Longwy,https://www.bonhams.com/auction/28572/lot/1158/pair-of-longwy-pottery-vases-and-stands-france-early-20th-century/,Bonhams,Bonhams_2023-04-20_1158,"['Bonhams_2023-04-20_1158_01.jpg', 'Bonhams_2023-04-20_1158_02.jpg']",
2,A Longwy polychrome enamel decorated earthenware vase,20th Century Furniture and Decorative Arts,Los Angeles,05 October 2006,2006-10-05,2164,['https://images2.bonhams.com/image?src=Images/live/2006-08/17/7297053-1-1.jpg'],Longwy,https://www.bonhams.com/auction/14022/lot/2164/a-longwy-polychrome-enamel-decorated-earthenware-vase/,Bonhams,Bonhams_2006-10-05_2164,['Bonhams_2006-10-05_2164_01.jpg'],
3,"An American Aesthetic brass and Longwy pottery standBradley and Hubbard Manufacturing Company, Meriden, Connecticutcirca 1880",Fine American and European Furniture and Decorative Arts,New York,20 January 2012,2012-01-20,1212,"['https://images2.bonhams.com/image?src=Images/live/2011-11/30/8456503-10-1.jpg', 'https://images2.bonhams.com/image?src=Images/live/2012-01/14/8456503-10-3.JPG', 'https://images2.bonhams.com/image?src=Images/live/2012-01/14/8456503-10-2.JPG']",Longwy,https://www.bonhams.com/auction/19530/lot/1212/an-american-aesthetic-brass-and-longwy-pottery-stand-bradley-and-hubbard-manufacturing-company-meriden-connecticut-circa-1880/,Bonhams,Bonhams_2012-01-20_1212,"['Bonhams_2012-01-20_1212_01.jpg', 'Bonhams_2012-01-20_1212_02.jpg', 'Bonhams_2012-01-20_1212_03.jpg']",
4,"TWO WILLIAM DE MORGAN (1839-1917) FLORAL TILES,",Modern Design,Marlborough,16 October 2024,2024-10-16,40,"['https://images2.bonhams.com/image?src=Images/live/2024-01/16/189054-76-4.jpg', 'https://images2.bonhams.com/image?src=Images/live/2024-01/16/189054-76-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2024-01/16/189054-76-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2024-01/16/189054-76-1.jpg']",DeMorgan,https://www.bonhams.com/auction/30260/lot/40/two-william-de-morgan-1839-1917-floral-tiles-england-late-19th-century-single-flower-with-impressed-stamp-merton-abbey-mark-double-carnation-with-impressed-stamp-sands-end-pottery-mark-each-tile-8-x-8-frames-9-12-x-9-12-in/,Bonhams,Bonhams_2024-10-16_40,"['Bonhams_2024-10-16_40_01.jpg', 'Bonhams_2024-10-16_40_02.jpg', 'Bonhams_2024-10-16_40_03.jpg', 'Bonhams_2024-10-16_40_04.jpg']",
5,"TWO WILLIAM DE MORGAN (1839-1917) FLORAL TILES,",Modern Design,Marlborough,16 October 2024,2024-10-16,49,"['https://images2.bonhams.com/image?src=Images/live/2024-01/26/189054-84-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2024-01/26/189054-84-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-84-1.jpg']",DeMorgan,https://www.bonhams.com/auction/30260/lot/49/two-william-de-morgan-1839-1917-floral-tiles-england-late-19th-century-impressed-marks-tiles-6-x-6-in-a-common-frame-13-14-x-7-14-in/,Bonhams,Bonhams_2024-10-16_49,"['Bonhams_2024-10-16_49_01.jpg', 'Bonhams_2024-10-16_49_02.jpg', 'Bonhams_2024-10-16_49_03.jpg']",
6,"FOUR-TILE WILLIAM DE MORGAN (1839-1917) ""PERSIAN"" FLORAL PANEL,",Modern Design,Marlborough,16 October 2024,2024-10-16,44,"['https://images2.bonhams.com/image?src=Images/live/2023-11/14/189054-85-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/14/189054-85-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/14/189054-85-1.jpg']",DeMorgan,https://www.bonhams.com/auction/30260/lot/44/four-tile-william-de-morgan-1839-1917-persian-floral-panel-england-late-19th-century-one-with-impressed-stamp-sands-end-pottery-mark-set-with-ten-period-border-tiles-four-floral-tiles-each-6-x-6-frame-17-x-17-in/,Bonhams,Bonhams_2024-10-16_44,"['Bonhams_2024-10-16_44_01.jpg', 'Bonhams_2024-10-16_44_02.jpg', 'Bonhams_2024-10-16_44_03.jpg']",
7,"TWO WILLIAM DE MORGAN ""PERSIAN"" TILES,",Modern Design Featuring the Pinhas Collection of Daum Glass,Marlborough,08 May 2024,2024-05-08,294,"['https://images2.bonhams.com/image?src=Images/live/2023-11/14/189054-55-4.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/14/189054-55-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/14/189054-55-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/14/189054-55-1.jpg']",DeMorgan,https://www.bonhams.com/auction/29574/lot/294/two-william-de-morgan-persian-tiles-england-late-19th-century-both-with-impressed-sands-end-pottery-stamp-marks-one-tile-9-x-9-the-other-6-x-9-frames-7-x-10-12-and-10-34-x-11-in/,Bonhams,Bonhams_2024-05-08_294,"['Bonhams_2024-05-08_294_01.jpg', 'Bonhams_2024-05-08_294_02.jpg', 'Bonhams_2024-05-08_294_03.jpg', 'Bonhams_2024-05-08_294_04.jpg']",
8,"TWO WILLIAM DE MORGAN ""CARNATION"" TILES,",Modern Design Featuring the Pinhas Collection of Daum Glass,Marlborough,08 May 2024,2024-05-08,295,"['https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-64-4.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-64-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-64-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-64-1.jpg']",DeMorgan,https://www.bonhams.com/auction/29574/lot/295/two-william-de-morgan-carnation-tiles-england-1882-1888-both-with-impressed-stamp-merton-abbey-mark-each-tile-6-x-6-both-frames-8-12-x-8-12-in/,Bonhams,Bonhams_2024-05-08_295,"['Bonhams_2024-05-08_295_01.jpg', 'Bonhams_2024-05-08_295_02.jpg', 'Bonhams_2024-05-08_295_03.jpg', 'Bonhams_2024-05-08_295_04.jpg']",
9,"TWO WILLIAM DE MORGAN ""CARNATION"" TILES,",Modern Design Featuring the Pinhas Collection of Daum Glass,Marlborough,08 May 2024,2024-05-08,293,"['https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-65-4.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-65-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-65-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-65-1.jpg']",DeMorgan,https://www.bonhams.com/auction/29574/lot/293/two-william-de-morgan-carnation-tiles-england-late-19thearly-20th-century-on-red-clay-architectural-pottery-co-blanks-with-applied-white-slip-and-painted-decoration-molded-makers-marks-each-tile-6-x-6-frames-7-12-x-7-12-in/,Bonhams,Bonhams_2024-05-08_293,"['Bonhams_2024-05-08_293_01.jpg', 'Bonhams_2024-05-08_293_02.jpg', 'Bonhams_2024-05-08_293_03.jpg', 'Bonhams_2024-05-08_293_04.jpg']",
