,Description,Vente,Loc,Date_iso,Date_str,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error,url
0,"COUPE EMAILLEE PAR VIEILLARD; FRANCE, BORDEAUX, XIXEME SIECLE",Art des terres d'Islam,Paris,2008-11-05,05 November 2008,112,['https://www.christies.com/img/LotImages/2008/PAR/2008_PAR_05552_0112_000(044234).jpg'],Vieillard,https://www.christies.com/en/lot/lot-5141077,Christies,Christies_2008-11-05_112,['Christies_2008-11-05_112_01.jpg'],,
1,"A FRENCH (VIEILLARD) POTTERY CHARGER; LATE 19TH CENTURY, IMPRESSED UPPERCASE MARK AND 1, BLACK PAINTED JVB MONOGRAM MARK, PAINTED D94 AND 33, A TRACE OF 889/3??","19th Century Furniture, Sculpture, Works of Art and         ",New York,2005-04-21,21 April 2005,689,['https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01504_0689_000(095742).jpg'],Vieillard,https://www.christies.com/en/lot/lot-4484697,Christies,Christies_2005-04-21_689,['Christies_2005-04-21_689_01.jpg'],,
2,"A PAIR OF FRENCH (VIEILLARD) POTTERY VASES; CIRCA 1880, SCRIPT JVB MONOGRAM MARK, IMPRESSED MODEL NUMBER 219, INCISED I, PAINTER'S 21, GILDER'S VN","19th Century Furniture, Sculpture, Works of Art and         ",New York,2005-04-21,21 April 2005,685,['https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01504_0685_000(095742).jpg'],Vieillard,https://www.christies.com/en/lot/lot-4484693,Christies,Christies_2005-04-21_685,['Christies_2005-04-21_685_01.jpg'],,
3,"A LARGE PAIR OF CHARGERS AND A FINE FOOTED TRAY; JULES VIEILLARD & CO, BORDEAUX, FRANCE, BEFORE 1895",Art of the Islamic and Indian Worlds Including Oriental Rugs and Carpets,London,2018-04-26,26 April 2018,234,"['https://www.christies.com/img/LotImages/2018/CKS/2018_CKS_15984_0234_000(a_large_pair_of_chargers_and_a_fine_footed_tray_jules_vieillard_co_bor083646).jpg', 'https://www.christies.com/img/LotImages/2018/CKS/2018_CKS_15984_0234_001(a_large_pair_of_chargers_and_a_fine_footed_tray_jules_vieillard_co_bor083653).jpg', 'https://www.christies.com/img/LotImages/2018/CKS/2018_CKS_15984_0234_002(a_large_pair_of_chargers_and_a_fine_footed_tray_jules_vieillard_co_bor083706).jpg', 'https://www.christies.com/img/LotImages/2018/CKS/2018_CKS_15984_0234_003(a_large_pair_of_chargers_and_a_fine_footed_tray_jules_vieillard_co_bor083719).jpg']",Vieillard,https://www.christies.com/en/lot/lot-6133275,Christies,Christies_2018-04-26_234,"['Christies_2018-04-26_234_01.jpg', 'Christies_2018-04-26_234_02.jpg', 'Christies_2018-04-26_234_03.jpg', 'Christies_2018-04-26_234_04.jpg']",,
4,"A PAIR OF FRENCH (VIEILLARD & CIE, BORDEAUX) FAIENCE BOTTLE VASES; CIRCA 1900, IMPRESSED MARKS",Christie's Interiors,London (South Kensington),2012-11-28,28 November 2012,586,['https://www.christies.com/img/LotImages/2012/CSK/2012_CSK_04463_0586_000(a_pair_of_french_faience_bottle_vases_circa_1900_impressed_marks114830).jpg'],Vieillard,https://www.christies.com/en/lot/lot-5632923,Christies,Christies_2012-11-28_586,['Christies_2012-11-28_586_01.jpg'],,
5,"A DOULTON LAMBETH STONEWARE VASE; DATED 1880, IMPRESSED INTERLACED D AND UPPERCASE MARK, INCISED 538","19th Century Furniture, Sculpture, Works of Art And Ceramics",New York,2008-04-09,09 April 2008,276,['https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01983_0276_000(033740).jpg'],Doulton,https://www.christies.com/en/lot/lot-5055917,Christies,Christies_2008-04-09_276,['Christies_2008-04-09_276_01.jpg'],,
6,"A PAIR OF TURQUOISE-GROUND EARTHENWARE FLATTENED MOON FLASKS,; 20TH CENTURY, POSSIBLY LONGWY",Christie's Interiors,New York,2011-02-09,09 February 2011,285,['https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02416_0285_000(a_pair_of_turquoise-ground_earthenware_flattened_moon_flasks_20th_cent023843).jpg'],Longwy,https://www.christies.com/en/lot/lot-5405383,Christies,Christies_2011-02-09_285,['Christies_2011-02-09_285_01.jpg'],,
7,LONGWY; COUPE CIRCULAIRE SUR PIÉDOUCHE,INTERIEURS                                                  ,Paris,2005-01-27,27 January 2005,80,['https://www.christies.com/img/LotImages/2005/PAR/2005_PAR_03035_0080_000(092701).jpg'],Longwy,https://www.christies.com/en/lot/lot-4436060,Christies,Christies_2005-01-27_80,['Christies_2005-01-27_80_01.jpg'],,
8,"A GILT-METAL MOUNTED LONGWY TURQUOISE-GROUND JARDINIERE; LATE 19TH CENTURY, IMPRESSED UPPERCASE MARK, 1033, 15 AND J, INCISED D 26","19th Century Furniture, Sculpture, Works of Art and Ceramics",New York,2006-10-24,24 October 2006,240,['https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01716_0240_000(125828).jpg'],Longwy,https://www.christies.com/en/lot/lot-4800418,Christies,Christies_2006-10-24_240,['Christies_2006-10-24_240_01.jpg'],,
9,"A WILLIAM DE MORGAN LARGE VASE; CIRCA 1890, TWO IMPRESSED TULIP MARKS, GREY PAINTED F.P MONOGRAM",The Collection of Sir Nicholas Goodison - British Art: Innovation and Craftsmanship,London,2022-05-25,25 May 2022,57,"['https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0057_000(a_william_de_morgan_large_vase_circa_1890_two_impressed_tulip_marks_gr_d6368392111743).jpg', 'https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0057_001(a_william_de_morgan_large_vase_circa_1890_two_impressed_tulip_marks_gr_d6368392101839).jpg', 'https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0057_002(a_william_de_morgan_large_vase_circa_1890_two_impressed_tulip_marks_gr_d6368392103824).jpg', 'https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0057_003(a_william_de_morgan_large_vase_circa_1890_two_impressed_tulip_marks_gr_d6368392101848).jpg']",DeMorgan,https://www.christies.com/en/lot/lot-6368392,Christies,Christies_2022-05-25_57,"['Christies_2022-05-25_57_01.jpg', 'Christies_2022-05-25_57_02.jpg', 'Christies_2022-05-25_57_03.jpg', 'Christies_2022-05-25_57_04.jpg']",,
10,"WILLIAM DE MORGAN (1839-1917); An 'Iznik' tile panel, late 19th/early 20th century",The Ann and Gordon Getty Collection: Temple of Wings,New York,2023-06-14,14 June 2023,82,"['https://www.christies.com/img/LotImages/2023/NYR/2023_NYR_22125_0082_000(william_de_morgan_an_iznik_tile_panel_late_19th_early_20th_century_d6426751041707).jpg', 'https://www.christies.com/img/LotImages/2023/NYR/2023_NYR_22125_0082_001(william_de_morgan_an_iznik_tile_panel_late_19th_early_20th_century_d6426751040119).jpg']",DeMorgan,https://www.christies.com/en/lot/lot-6426751,Christies,Christies_2023-06-14_82,"['Christies_2023-06-14_82_01.jpg', 'Christies_2023-06-14_82_02.jpg']",,
11,"A WILLIAM DE MORGAN DOUBLE GOURD VASE; CIRCA 1890, GREY PAINTED W.DE.MORGAN.& CO. FULHAM. MARK AND F.P MONOGRAM, TWO IMPRESSED TULIP MARKS, PAINTED NUMERALS 1035",The Collection of Sir Nicholas Goodison - British Art: Innovation and Craftsmanship,London,2022-05-25,25 May 2022,58,"['https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0058_000(a_william_de_morgan_double_gourd_vase_circa_1890_grey_painted_wdemorga103832).jpg', 'https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0058_001(a_william_de_morgan_double_gourd_vase_circa_1890_grey_painted_wdemorga111751).jpg', 'https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0058_002(a_william_de_morgan_double_gourd_vase_circa_1890_grey_painted_wdemorga111759).jpg']",DeMorgan,https://www.christies.com/en/lot/lot-6368393,Christies,Christies_2022-05-25_58,"['Christies_2022-05-25_58_01.jpg', 'Christies_2022-05-25_58_02.jpg', 'Christies_2022-05-25_58_03.jpg']",,
12,"A WILLIAM DE MORGAN LARGE BOTTLE VASE; CIRCA 1900, GREY PAINTED DIP FULHAM MARK",The Collection of Sir Nicholas Goodison - British Art: Innovation and Craftsmanship,London,2022-05-25,25 May 2022,61,"['https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0061_000(a_william_de_morgan_large_bottle_vase_circa_1900_grey_painted_dip_fulh101908).jpg', 'https://www.christies.com/img/LotImages/2022/CKS/2022_CKS_21043_0061_001(a_william_de_morgan_large_bottle_vase_circa_1900_grey_painted_dip_fulh101916).jpg']",DeMorgan,https://www.christies.com/en/lot/lot-6368396,Christies,Christies_2022-05-25_61,"['Christies_2022-05-25_61_01.jpg', 'Christies_2022-05-25_61_02.jpg']",,
13,"WILLIAM DE MORGAN (1839-1917); A large 'Persian' rice dish, late 19th century",The Ann and Gordon Getty Collection: Temple of Wings,New York,2023-06-14,14 June 2023,3,"['https://www.christies.com/img/LotImages/2023/NYR/2023_NYR_22125_0003_000(william_de_morgan_a_large_persian_rice_dish_late_19th_century033838).jpg', 'https://www.christies.com/img/LotImages/2023/NYR/2023_NYR_22125_0003_001(william_de_morgan_a_large_persian_rice_dish_late_19th_century033846).jpg', 'https://www.christies.com/img/LotImages/2023/NYR/2023_NYR_22125_0003_002(william_de_morgan_a_large_persian_rice_dish_late_19th_century033851).jpg', 'https://www.christies.com/img/LotImages/2023/NYR/2023_NYR_22125_0003_003(william_de_morgan_a_large_persian_rice_dish_late_19th_century033859).jpg']",DeMorgan,https://www.christies.com/en/lot/lot-6426672,Christies,Christies_2023-06-14_3,"['Christies_2023-06-14_3_01.jpg', 'Christies_2023-06-14_3_02.jpg', 'Christies_2023-06-14_3_03.jpg', 'Christies_2023-06-14_3_04.jpg']",,
