,Lot_id,Sale_id,Lot,Description,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error
0,29707015,167482,126,"THÉODORE DECK (1823-1891)|PLAT CIRCULAIRE DANS LE STYLE D'IZNIK|en faïence fine, émaux bleu de cobalt, vert, turquoise et rouge, à décor en léger relief, d'une composition florale animée de jacinthes et églantines. Frise de rosettes et boutons de fleurs sur le marli. Marque au revers peinte en rouge, en creux ""TH. DECK"".|France, Paris, vers 1860-1880.|AN IZNIK STYLE CERAMIC DISH BY THEODORE DECK, MARKED, FRANCE, CA. 1860-1880.|DIAM. 30 CM (11 13/16 IN.)",['https://cdn.drouot.com/d/image/lot?size=fullHD&path=63/167482/cfe55bf68f5284942d8a756153b1c9f8'],Deck,https://www.gazette-drouot.com/lots/29707015-theodore-deck-1823-1891--plat---,GazetteDrouot,GazetteDrouot_29707015,['GazetteDrouot_29707015_01.jpg'],
1,29624250,167252,351,"Theodore DECK (1823-1891)|Bassin ou bonbonnière de style mamlouk|En faïence moulée et émaillée en polychromie à décor de frises de fleurons et de médaillons circulaires animés d'inscriptions arabes. Signé sous la base TH. DECK|9.5 x 21.5 cm. |Etat : sans couvercle, usures. ||Bibliographie : |""Théodore Deck ou l'éclat des émaux 1823 - 1891"", Musées de Marseille, modèle similaire reproduit page 42.||An earthenware brass or candy-box signed Théodore Deck, with an enamelled decor of Arabic calligraphy.","['https://cdn.drouot.com/d/image/lot?size=fullHD&path=61/167252/b83d07df535e7e341bec805ed120b9a0', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=61/167252/66ed9f74ccd271442355dcad8b3ef6a7']",Deck,https://www.gazette-drouot.com/lots/29624250-theodore-deck-1823-1891--bassin---,GazetteDrouot,GazetteDrouot_29624250,"['GazetteDrouot_29624250_01.jpg', 'GazetteDrouot_29624250_02.jpg']",
2,29612993,167179,50,"DANS LE GOUT DE Theodore DECK (1823-1891)|Paire de bassins|En céramique moulée à glaçure monochrome turquoise à décor de médaillons végétaux séparant des cartouches épigraphiques en thuluth. |Marque sous la base : 398 S 2 et 398 D 2|12.5 x 19 cm|Etat : un percé||Cette paire de bols s’inspire des céramiques médiévales du monde islamique, tant par l’usage du bleu cobalt, caractéristique notamment de la production iranienne du XIIe siècle, que par un décor évoquant les créations mamloukes.||A Pair of moulded ceramic basins covered in a brilliant turquoise glaze, in the style of Théodore Deck (1823–1891)","['https://cdn.drouot.com/d/image/lot?size=fullHD&path=61/167179/92c905d4bbe2cce889e771acee17e642', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=61/167179/f33cc3fa166a8e55d1b0081b9cb0608e']",Deck,https://www.gazette-drouot.com/lots/29612993-dans-le-gout-de-theodore-deck---,GazetteDrouot,GazetteDrouot_29612993,"['GazetteDrouot_29612993_01.jpg', 'GazetteDrouot_29612993_02.jpg']",
3,29673599,167386,220,"Théodore DECK (1823-1891). Plat circulaire en faïence polychrome à décor floral dans le goût d'Iznik. Estampillé au dos. Dernier tiers du XIXe. Diam. 29,5 cm.","['https://cdn.drouot.com/d/image/lot?size=fullHD&path=1059/167386/ea49e07cd2de5f247bb3f0a3098e65f6', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=1059/167386/ea217064ad409bb427039fe7f4fabb1e', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=1059/167386/705e7dd07e3c50e8a7c04f4f9787ecc7', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=1059/167386/aea8f7f057799cd6eca5bca794129a2b']",Deck,https://www.gazette-drouot.com/lots/29673599-theodore-deck-1823-1891-----,GazetteDrouot,GazetteDrouot_29673599,"['GazetteDrouot_29673599_01.jpg', 'GazetteDrouot_29673599_02.jpg', 'GazetteDrouot_29673599_03.jpg', 'GazetteDrouot_29673599_04.jpg']",
4,29624525,166118,160,"Théodore DECK (1823 - 1891) |Important plat de forme circulaire en faïence à décor polychrome de fleurs dans le goût d'Iznik. Signé du cachet au verso|Diamètre : 45,5 cm |(Important accident et restauration)","['https://cdn.drouot.com/d/image/lot?size=fullHD&path=83/166118/7b33e1803fc03d8d79e51ee61b7146ee', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=83/166118/c6265dc1c62d907ebc4ff4d848853782']",Deck,https://www.gazette-drouot.com/lots/29624525-theodore-deck-1823-1891----,GazetteDrouot,GazetteDrouot_29624525,"['GazetteDrouot_29624525_01.jpg', 'GazetteDrouot_29624525_02.jpg']",
5,29586159,164694,118,Théodore DECK (1823-1891)|Vase en faïence émaillée à décor d'inspiration islamique sur fond céladon.|Signé.|H : 13 cm - restauration.,"['https://cdn.drouot.com/d/image/lot?size=fullHD&path=1161/164694/b2c9b0c241b41f4a5615dd0d2f3aaa12', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=1161/164694/e7b0840721ad8330fc1e6b7b64f32440']",Deck,https://www.gazette-drouot.com/lots/29586159-theodore-deck-1823-1891--vase---,GazetteDrouot,GazetteDrouot_29586159,"['GazetteDrouot_29586159_01.jpg', 'GazetteDrouot_29586159_02.jpg']",
6,29351321,166129,214,"Théodore DECK (1823-1891), Plat en faïence fine à décor Iznik signé au revers - Diam: 30cm.",['https://cdn.drouot.com/d/image/lot?size=fullHD&path=16/166129/3b7c9eeac1b327ae88544698638ca205'],Deck,https://www.gazette-drouot.com/lots/29351321-theodore-deck-1823-1891-----,GazetteDrouot,GazetteDrouot_29351321,['GazetteDrouot_29351321_01.jpg'],
7,29249800,166012,321,"Theodore DECK (1823 - 1891)|Jardinière en faïence émaillée polychrome à corps rectangulaire à décor émaillé bleu et rouge de rinceaux dans le goût Iznik|H : 15 - L : 31 - P : 20 cm|Signée Th.Deck sous la base|Choc, égrenures, fêles","['https://cdn.drouot.com/d/image/lot?size=fullHD&path=61/166012/574e4c08e86828f016aa5a6a331526ee', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=61/166012/a513e5a845473e90c8ce183254eed150']",Deck,https://www.gazette-drouot.com/lots/29249800-theodore-deck-1823-1891--jardiniere---,GazetteDrouot,GazetteDrouot_29249800,"['GazetteDrouot_29249800_01.jpg', 'GazetteDrouot_29249800_02.jpg']",
8,29270232,166191,387,"Théodore DECK. 1823-1891.  Paire de lampes à pétrole en faïence à décor mauresque bleu sur blanc, monogrammées «T D» Monture en bronze doré. Electrifiées. Usures. Hauteur totale: 29 cm.","['https://cdn.drouot.com/d/image/lot?size=fullHD&path=6/166191/7a81ca6b20e1d01aaf9d665c0125ea67', 'https://cdn.drouot.com/d/image/lot?size=fullHD&path=6/166191/a9e92f50a4d6a662a1ad52ffae89b356']",Deck,https://www.gazette-drouot.com/lots/29270232-theodore-deck--1823-1891----,GazetteDrouot,GazetteDrouot_29270232,"['GazetteDrouot_29270232_01.jpg', 'GazetteDrouot_29270232_02.jpg']",
9,28846140,164827,13,"Theodore DECK (1823 - 1891)|Vase de forme balustre en faïence émaillée bleu dit ""bleu Deck"" à décor de stries verticales.|Signé sous la base ""Th.Deck""|H : 37,5 cm|(restaurations au col et à la base)||A ""Deck's blue"" enamelled earthenware vase designed by Théodore Deck. SIgned ""Th.Deck"" under the base.|H : 14,76 inch|(restorations on the neck and base)",['https://cdn.drouot.com/d/image/lot?size=fullHD&path=61/164827/415f70bced720cff67c2174a41463320'],Deck,https://www.gazette-drouot.com/lots/28846140-theodore-deck-1823-1891--vase---,GazetteDrouot,GazetteDrouot_28846140,['GazetteDrouot_28846140_01.jpg'],
