,Description,Vente,Loc,Date_iso,Date_str,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error,url
0,William De Morgan (1839 - 1917),Fine 20th Century Design,London,2008-04-02,02 April 2008,150,['https://sothebys-com.brightspotcdn.com/dims4/default/97becfb/2147483647/strip/true/crop/2000x2000+0+0/resize/2880x2880!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fcd%2F3d%2F76%2F134686a26e7b8d1d122983ec026a61ef1990c608c2ac99561318d3b72d%2Fl08672-150-lr-1.jpg'],DeMorgan,https://www.sothebys.com/en/auctions/ecatalogue/2008/fine-20th-century-design-l08672/lot.150.html,Sothebys,Sothebys_2008-04-02_150,['Sothebys_2008-04-02_150_01.jpg'],,
1,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2006/john-jesse-the-pursuit-of-style-l06750/lot.8.html
2,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2005/decorative-arts-and-design-w05811/lot.24.html
3,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2004/decorative-arts-and-design-from-1870-w04811/lot.27.html
4,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2003/decorative-arts-and-design-from-1870-w03813/lot.255.html
5,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2003/decorative-arts-and-design-from-1870-w03813/lot.260.html
6,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2003/decorative-arts-and-design-from-1870-w03813/lot.264.html
7,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2002/decorative-arts-and-design-from-1870-w02919/lot.109.html
8,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2004/fine-decorative-arts-from-1870-w04810/lot.21.html
9,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2006/decorative-arts-design-from-1870-w06814/lot.90.html
