titre	auteur	date	technique	lien	system_id	localisation	num_inventaire	image_url
Bonbonnière	Deck Théodore (1823-1891)	1867	earthenware,fine earthenware, earthenware, fine earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612680	15-612680	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4258	https://images.grandpalaisrmn.fr/thumb.php/00077696.jpg?ID=326094
Plat	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612665	15-612665	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4242	https://images.grandpalaisrmn.fr/thumb.php/00116520.jpg?ID=2111718
Carreau de revêtement	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612694	15-612694	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4273	https://images.grandpalaisrmn.fr/thumb.php/00161253.jpg?ID=442913
Vase ou pot dans le style d'Iznik	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/10-545668	10-545668	Sèvres, Manufacture et musée nationaux	MNC8417a;MNC8417b	https://images.grandpalaisrmn.fr/thumb.php/00176457.jpg?ID=1308863
Cache-pot	Deck Théodore (1823-1891)	1865	earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612679	15-612679	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4257	https://images.grandpalaisrmn.fr/thumb.php/00236907.jpg?ID=662458
Carreau de revêtement	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612695	15-612695	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4274	https://images.grandpalaisrmn.fr/thumb.php/00495385.jpg?ID=985499
Assiette	Deck Théodore (1823-1891)			https://images.grandpalaisrmn.fr/ark:/36255/15-612640	15-612640	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4218	https://images.grandpalaisrmn.fr/thumb.php/00536898.jpg?ID=449757
Plat	Deck Théodore (1823-1891)	1865	earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612662	15-612662	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF 4239	https://images.grandpalaisrmn.fr/thumb.php/00660608.jpg?ID=691908
Plat	Deck Théodore (1823-1891)		glazed ground,polychromy (technique), glazed ground, polychromy (technique)	https://images.grandpalaisrmn.fr/ark:/36255/09-509814	09-509814	États-Unis, New-York (NY), The Metropolitan Museum of Art	1985.225	https://images.grandpalaisrmn.fr/thumb.php/00780666.jpg?ID=2111724
Vase ou pot dans le style d'Iznik	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/10-545667	10-545667	Sèvres, Manufacture et musée nationaux	MNC8417a;MNC8417b	https://images.grandpalaisrmn.fr/thumb.php/00850681.jpg?ID=262646
Assiette	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612647	15-612647	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4227	https://images.grandpalaisrmn.fr/thumb.php/00870758.jpg?ID=973180
Bouquetière à cinq lobes	Deck Théodore (1823-1891),Reiber Emile Auguste (1826-1893)	1866	earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/94-055751	94-055751	Limoges, musée national Adrien Dubouché	ADL6784	https://images.grandpalaisrmn.fr/thumb.php/00924077.jpg?ID=1047696
Plat	Deck Théodore (1823-1891)		earthenware,fine earthenware, earthenware, fine earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612666	15-612666	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4243	https://images.grandpalaisrmn.fr/thumb.php/00966801.jpg?ID=2111727
Plat	Deck Théodore (1823-1891)	1865		https://images.grandpalaisrmn.fr/ark:/36255/15-612661	15-612661	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4238	https://images.grandpalaisrmn.fr/thumb.php/01069103.jpg?ID=507725
Assiette	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612646	15-612646	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4226	https://images.grandpalaisrmn.fr/thumb.php/01146562.jpg?ID=448455
Vase ou pot dans le style d'Iznik	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/10-545666	10-545666	Sèvres, Manufacture et musée nationaux	MNC8417a;MNC8417b	https://images.grandpalaisrmn.fr/thumb.php/01152364.jpg?ID=684195
Vase dit de l'Alhambra	Deck Théodore (1823-1891)	1890	earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/05-520991	05-520991	Sèvres, Manufacture et musée nationaux	MNC9069	https://images.grandpalaisrmn.fr/thumb.php/01305461.jpg?ID=416776
Vase à long col dans le style d'Iznik	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/10-545609	10-545609	Sèvres, Manufacture et musée nationaux	MNC12850	https://images.grandpalaisrmn.fr/thumb.php/01307245.jpg?ID=675469
Plat	Deck Théodore (1823-1891)		earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612652	15-612652	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4232	https://images.grandpalaisrmn.fr/thumb.php/01411416.jpg?ID=555473
Plat	Deck Théodore (1823-1891)		earthenware,glazed decoration, earthenware, glazed decoration	https://images.grandpalaisrmn.fr/ark:/36255/22-531960	22-531960	Paris, musée d'Orsay	DO1986-85; CNAM 9748	https://images.grandpalaisrmn.fr/thumb.php/01463053.jpg?ID=2108856
Vase bouteille sur piédouche	Deck Théodore (1823-1891)		fine earthenware,earthenware, fine earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612660	15-612660	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4237	https://images.grandpalaisrmn.fr/thumb.php/01481000.jpg?ID=2111733
Cache-pot	Deck Théodore (1823-1891)	1865	earthenware, earthenware	https://images.grandpalaisrmn.fr/ark:/36255/15-612678	15-612678	Marseille, château Borély, musée des Arts décoratifs, de la Faïence et de la Mode	GF4256	https://images.grandpalaisrmn.fr/thumb.php/01487243.jpg?ID=776870
Carreau pseudo-ottoman	Morgan William Frend de (1839-1917)			https://images.grandpalaisrmn.fr/ark:/36255/07-502890	07-502890		MAO2002	https://images.grandpalaisrmn.fr/thumb.php/01508209.jpg?ID=412846
Vase	Collinot Eugène Victor (1824-1889)		earthenware,200011, earthenware, 200011	https://images.grandpalaisrmn.fr/ark:/36255/13-547914	13-547914	Sèvres, Manufacture et musée nationaux	MNC6654-B	https://images.grandpalaisrmn.fr/thumb.php/01198900.jpg?ID=690003
Plat	Lachenal Edmond (1855-1930)		ceramic (material), ceramic (material)	https://images.grandpalaisrmn.fr/ark:/36255/16-577787	16-577787		MAO862	https://images.grandpalaisrmn.fr/thumb.php/01183672.jpg?ID=473549
