titre	auteur	date	technique	lien	system_id	localisation	num_inventaire	image_url
Plat à décor de lion, lièvres et animaux fantastiques sur fond vert			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501769	04-501769	Ecouen, musée national de la Renaissance	E.Cl.8357	https://images.grandpalaisrmn.fr/thumb.php/00424772.jpg?ID=534918
Plat aux roses rouges			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501347	04-501347	Ecouen, musée national de la Renaissance	E.Cl.8506	https://images.grandpalaisrmn.fr/thumb.php/00284131.jpg?ID=607652
Plat au grand buisson fleuri			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501971	04-501971	Ecouen, musée national de la Renaissance	ECL8129	https://images.grandpalaisrmn.fr/thumb.php/00120512.jpg?ID=610700
Plat à décor de navire à trois mâts et filets			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501836	04-501836	Ecouen, musée national de la Renaissance	E.Cl.8526	https://images.grandpalaisrmn.fr/thumb.php/00010510.jpg?ID=293367
Pichet aux animaux		1590	siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/23-01727231	23-01727231	Ecouen, musée national de la Renaissance	E.Cl.9287	https://images.grandpalaisrmn.fr/thumb.php/01727231.jpg?ID=309858
Hanap aux tulipes et branches fleuries		1600	siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/23-01727215	23-01727215	Ecouen, musée national de la Renaissance	E.Cl.8408	https://images.grandpalaisrmn.fr/thumb.php/01727215.jpg?ID=306282
Plat à la rosette verte			siliceous ceramics,painted,colour highlights,glaze,gold highlights, siliceous ceramics, painted, colour highlights, glaze, gold highlights	https://images.grandpalaisrmn.fr/ark:/36255/04-501364	04-501364	Ecouen, musée national de la Renaissance	E.Cl.9306	https://images.grandpalaisrmn.fr/thumb.php/01540787.jpg?ID=257932
Grand plat aux lambrequins sur fond bleu lavande et marli rouge			siliceous ceramics,glaze,painted,200407, siliceous ceramics, glaze, painted, 200407	https://images.grandpalaisrmn.fr/ark:/36255/04-502361	04-502361	Ecouen, musée national de la Renaissance	E.Cl.8550	https://images.grandpalaisrmn.fr/thumb.php/01540777.jpg?ID=1516037
Plat aux trois tulipes et tiges ondulantes			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502298	04-502298	Ecouen, musée national de la Renaissance	E.Cl.8423	https://images.grandpalaisrmn.fr/thumb.php/01539227.jpg?ID=262442
Plat à la grande feuille saz sur un bouquet léger de quatre tulipes et roses			siliceous ceramics,glaze,gold highlights, siliceous ceramics, glaze, gold highlights	https://images.grandpalaisrmn.fr/ark:/36255/04-501301	04-501301	Ecouen, musée national de la Renaissance	E.Cl.8334	https://images.grandpalaisrmn.fr/thumb.php/01539223.jpg?ID=1463685
