Titre	Auteur	Date	Description	Technique	Lien	Institution	Ville	Num_inventaire	Image_urls
Nan	['LACHENAL Edmond (céramiste)']	['1921']	Soucoupe évasée. L'extérieur est couvert d'un émail vert/bleu avec coulures. La lèvre est soulignée de points noirs débordant à l'extérieur et à l'intérieur de la coupe	"[""faïence (tourné, cuisson de dégourdi, glaçure à l'étain, peint, cuisson de grand feu)""]"	https://pop.culture.gouv.fr/notice/joconde/07450027617	musée Dobrée	Nantes	927.1.520	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009427.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009428.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009996.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009997.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009998.jpg']
Plat à la danseuse (titre d'usage)	['Deck Théodore (1823-1891) (céramiste)', 'Ehrmann François Émile (1833-1910) (peintre)']	['1867']	Assiette à fond bleu turquoise. Au centre une femme entourée d'une composition florale aux œillets, feuilles saz et tiges courbes de style Iznik. La danseuse est vêtue d'une jupe aux motifs fleuris et d'un court boléro vert dévoilant sa poitrine. Debout sur un croissant de lune, elle semble danser tout en jouant avec des cymbales à doigts qu'elle tient entre ses mains.	['faïence fine (modelé, cuisson, émail peint)']	https://pop.culture.gouv.fr/notice/joconde/00290100823	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.83 ; D-THD 997.1.7 (ancien numéro) ; THD-DB 002.1.83 (ancien numéro)	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100823/thd-db-2002-1-83-orcmot.jpg']
style Iznik	['Deck Théodore (céramiste)']	['1860', '1870']	Plat rond sur talon à bords chantournés. Décor de style Iznik. Fond bleu foncé orné de bouquets d’œillets, de tulipes et de feuilles saz. Marli au fond bleu clair avec motifs de fleurs.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290101273	musée Théodore Deck et des pays du Florival	Guebwiller	THD-993.3.10 ; MF 149 (ancien numéro)	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101273/thd-993-3-10-1pefn2l.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	['1870']	Lampe à long col sur monture en bronze. Fond blanc décoré de motifs en frise et en médaillons. Fleurs et rinceaux rouges.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100805	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.113 ; D-THD 996.1.3 (ancien numéro) ; THD-DB 002.1.113 (ancien numéro)	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1r54i1x.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1yr4gan.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-10nrn1f.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1s7920m.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-2xi883.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	[]	Lampe à long col sur monture en bronze. Tête de bovidé sculptée dans la monture. Fond blanc décoré de motifs en frise. Fleurs et rinceaux bleus. Motifs inspirés de la calligraphie coufique.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100802	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.89 ; D-THD 996.1.2 (ancien numéro) ; THD-DB 002.1.89 (ancien numéro)	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-4qn5c3.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-yfgkoz.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-1b930pr.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-16w8g76.jpg']
Nan	['LACHENAL Edmond (céramiste)']	['1921']	Soucoupe évasée. L'extérieur est couvert d'un émail vert/bleu avec coulures. La lèvre est soulignée de points noirs débordant à l'extérieur et à l'intérieur de la coupe	"[""faïence (tourné, cuisson de dégourdi, glaçure à l'étain, peint, cuisson de grand feu)""]"	https://pop.culture.gouv.fr/notice/joconde/07450027617	musée Dobrée	Nantes	927.1.520	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009427.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009428.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009996.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009997.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009998.jpg']
Plat à la danseuse (titre d'usage)	['Deck Théodore (1823-1891) (céramiste)', 'Ehrmann François Émile (1833-1910) (peintre)']	['1867']	Assiette à fond bleu turquoise. Au centre une femme entourée d'une composition florale aux œillets, feuilles saz et tiges courbes de style Iznik. La danseuse est vêtue d'une jupe aux motifs fleuris et d'un court boléro vert dévoilant sa poitrine. Debout sur un croissant de lune, elle semble danser tout en jouant avec des cymbales à doigts qu'elle tient entre ses mains.	['faïence fine (modelé, cuisson, émail peint)']	https://pop.culture.gouv.fr/notice/joconde/00290100823	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.83 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100823/thd-db-2002-1-83-orcmot.jpg']
style Iznik	['Deck Théodore (céramiste)']	['1860', '1870']	Plat rond sur talon à bords chantournés. Décor de style Iznik. Fond bleu foncé orné de bouquets d’œillets, de tulipes et de feuilles saz. Marli au fond bleu clair avec motifs de fleurs.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290101273	musée Théodore Deck et des pays du Florival	Guebwiller	THD-993.3.10 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101273/thd-993-3-10-1pefn2l.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	['1870']	Lampe à long col sur monture en bronze. Fond blanc décoré de motifs en frise et en médaillons. Fleurs et rinceaux rouges.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100805	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.113 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1r54i1x.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1yr4gan.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-10nrn1f.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1s7920m.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-2xi883.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	[]	Lampe à long col sur monture en bronze. Tête de bovidé sculptée dans la monture. Fond blanc décoré de motifs en frise. Fleurs et rinceaux bleus. Motifs inspirés de la calligraphie coufique.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100802	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.89 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-4qn5c3.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-yfgkoz.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-1b930pr.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-16w8g76.jpg']
style Iznik	['Deck Théodore (1823-1891) (céramiste)']	[]	Plat rond sur talon à décor de style Iznik. Bouquet composée de tulipes, d'oeillets et de jacinthes sur fond blanc. Feuilles saz et volutes sur le marli.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290100816	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.43 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100816/thd-db-2002-1-43-cvebbo.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	[]	Lampe à long col sur monture en bronze. Fond blanc décoré de motifs en frise et en médaillons. Fleurs et rinceaux bleus.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100806	musée Théodore Deck et des pays du Florival	Guebwiller	THD-DB-2002.1.95 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-14wyig1.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-84mcz9.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-1o2qyg4.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-rmqnt9.jpg']
