Titre	Auteur	Date	Description	Technique	Lien	Institution	Ville	Num_inventaire	Image_urls
"Paire de vases avec ""décor de Rhodes"""	Deck, Théodore	v. 1867	Vase	Faïence avec peinture sur glaçure	https://id.smb.museum/object/2471614/vase-aus-einem-vasenpaar-mit-rhodos-dekor	Staatliche Museen zu Berlin, Kunstgewerbemuseum	Berlin	1867,173	https://recherche.smb.museum/images/57/5777125_4000x4000.jpg
Assiette avec décor oriental	Drews, Marie	v. 1877	Assiette	Faïence avec peinture sur glaçure	https://id.smb.museum/object/2471668/wandteller-mit-orientalisierendem-dekor	Staatliche Museen zu Berlin, Kunstgewerbemuseum	Berlin	1877,434	https://recherche.smb.museum/images/57/5777279_4000x4000.jpg
Vase-bouteille	Vieillard, Jules et Cie	v. 1878	Vase-bouteille	Faïence à émaux en relief	https://www.musee-orsay.fr/fr/oeuvres/vase-bouteille-100146	Musée d'Orsay	Paris	OAO 1357	https://cdn.mediatheque.epmoo.fr/link/3c9igq/zyg1apui0apghxc.jpg
Plat	Vieillard, Jules et Cie	v. 1878	Plat	Faïence à émaux en relief	https://www.musee-orsay.fr/fr/oeuvres/plat-100147	Musée d'Orsay	Paris	OAO 1358	https://cdn.mediatheque.epmoo.fr/link/3c9igq/mgb1apwpxvezdy8.jpg
Plat, genre Iznik	Lachenal, Edmond	v. 1885	Plat	Faïence	https://www.musee-orsay.fr/fr/oeuvres/plat-genre-iznik-102667	Musée d'Orsay	Paris	OAO 1368	https://cdn.mediatheque.epmoo.fr/link/3c9igq/pql1apqg81jr8io.jpg
Carreau	Cantagalli	v. 1900	Carreau 	Faïence	https://www.nms.ac.uk/search-our-collections/collection-search-results?entry=323560	National Museums Scotland	Edinburgh	A.1972.42	https://www.nms.ac.uk/api/axiell?command=getcontent&server=Detail&value=PF20375
Vase	Morgan, William	v. 1888-1898	Vase	Faïence	https://www.nms.ac.uk/search-our-collections/collection-search-results?entry=376204	National Museums Scotland	Edinburgh	A.1928,857	https://www.nms.ac.uk/api/axiell?command=getcontent&server=Detail&value=PF1001113
Plat	Morgan, William	v. 1880-1900	Plat	Faïence	https://www.nms.ac.uk/search-our-collections/collection-search-results?entry=376217	National Museums Scotland	Edinburgh	A.1934.303	https://www.nms.ac.uk/api/axiell?command=getcontent&server=Detail&value=PF55910
Carreau	Morgan, William	v. 1888-1898	Carreau 	Faïence	https://www.nms.ac.uk/search-our-collections/collection-search-results?entry=376221	National Museums Scotland	Edinburgh	A.1941.12 B	https://www.nms.ac.uk/api/axiell?command=getcontent&server=Detail&value=PF38755
Porte-bouquet	Reiber, Emile ; Deck, Théodore	v. 1863		Faïence à décor imprimé sous couverte bleu turquoise	https://www.musee-orsay.fr/fr/oeuvres/porte-bouquet-98730	Musée d'Orsay	Paris	OAO  1223	https://cdn.mediatheque.epmoo.fr/link/3c9igq/dhk1buttpp3m01s.jpg
Plat	Deck, Théodore	av. 1881	Faïence à décor sous couverte	Faïence	https://www.musee-orsay.fr/fr/oeuvres/plat-102725	Musée d'Orsay	Paris	DO 1986 85	https://cdn.mediatheque.epmoo.fr/link/3c9igq/lav1apzbbnx4pls.jpg
Coupe monumentale	Deck, Théodore	av. 1867	Faïence à décor sous couverte	Faïence	https://www.musee-orsay.fr/fr/oeuvres/coupe-monumentale-22688	Musée d'Orsay	Paris	OA 2614	https://cdn.mediatheque.epmoo.fr/link/3c9igq/spc1aptqul7bvls.jpg ; https://cdn.mediatheque.epmoo.fr/link/3c9igq/rpw1aptqumzsnuo.jpg
Vase	Deck, Théodore	1884	De style oriental, vase persan à trois anses, copie d'une lampe de mosquée, en faïence fond blanc, col fond bleu, décor or et camaïeu bleu, paillons d'or	Faïence	https://www.musee-orsay.fr/fr/oeuvres/coupe-monumentale-22688	Musée d'Orsay	Paris	GML 901	https://cdn.mediatheque.epmoo.fr/link/3c9igq/int1bc00kwjtj0g.jpg
Plat	Parvillée	v. 1885	faïence fine, décor peint en bleu, noir, turquoise et à l'engobe rouge sous couverte	Faïence	https://www.musee-ariana.ch/collections/oeuvre/plat/c-0547	Musée Ariana	Genève	C 0547	https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000270000/272997.ptif/full/full/0/default.jpg
Plat	Keramis-Boch Frères	1885-1900	faïence fine, décor posé au pochoir et rehaussé en polychromie sous couverte	Faïence	https://www.musee-ariana.ch/collections/oeuvre/plat/ar-11418	Musée Ariana	Genève	AR 11418	https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000740000/745545.ptif/full/full/0/default.jpg
Vase	Cantagalli	v. 1890	faïence, décor moulé en relief et peint en bleu de grand feu, au lustre rouge et jaune.	Faïence	https://www.musee-ariana.ch/collections/oeuvre/vase/ar-12233	Musée Ariana	Genève	AR 12233	https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000280000/280578.ptif/full/full/0/default.jpg ; https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000090000/90696.ptif/full/full/0/default.jpg 
Vase	Cantagalli	v. 1895	faïence, décor peint en polychromie de grand feu	Faïence	https://www.musee-ariana.ch/collections/oeuvre/vase/c-0085	Musée Ariana	Genève	C 0085	https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000270000/270280.ptif/full/full/0/default.jpg
Bassin	Deck, Théodore	v. 1863	faïence fine, décor peint de pâte blanche en relief sur fond bleu et sous couverte transparente	Faïence	https://www.musee-ariana.ch/collections/oeuvre/bassin/ar-2013-145	Musée Ariana	Genève	AR 2013-145	https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000290000/292356.ptif/full/full/0/default.jpg; https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000290000/291200.ptif/full/full/0/default.jpg; https://www.ville-ge.ch/fcgi-bin/iipsrv.fcgi?IIIF=collections/ari/0000290000/293555.ptif/full/full/0/default.jpg 
