auteur	institution	object_id
Cantagalli	victoria and albert museum	VA_O175496
Cantagalli	victoria and albert museum	VA_O308219
Cantagalli	victoria and albert museum	VA_O332154
Cantagalli	victoria and albert museum	VA_O332155
Cantagalli	victoria and albert museum	VA_O281915
Cantagalli	victoria and albert museum	VA_O282011
Cantagalli	national museums scotland	NMS_A--1972--42
Cantagalli	musée ariana	MA_AR__12233
Cantagalli	musée ariana	MA_C__0085
Cantagalli	musée ariana	MA_AR__10202
Cantagalli	metropolitan museum of art	MET_02--5--24
Collinot, Eugène	musée des arts décoratifs	MAD_12134
Collinot, Eugène	musée des arts décoratifs	MAD_12137
Collinot, Eugène	manufacture et musée nationaux	MMNS_MNC6654-B
De Morgan, William	victoria and albert museum	VA_O151502
De Morgan, William	victoria and albert museum	VA_O281830
De Morgan, William	victoria and albert museum	VA_O280651
De Morgan, William	victoria and albert museum	VA_O150300
De Morgan, William	victoria and albert museum	VA_O161558
De Morgan, William	victoria and albert museum	VA_O77990
De Morgan, William	victoria and albert museum	VA_O77759
De Morgan, William	victoria and albert museum	VA_O150353
De Morgan, William	victoria and albert museum	VA_O150300
De Morgan, William	victoria and albert museum	VA_O1104561
De Morgan, William	victoria and albert museum	VA_O150352
De Morgan, William	victoria and albert museum	VA_O1104615
De Morgan, William	victoria and albert museum	VA_O150508
De Morgan, William	victoria and albert museum	VA_O1104532
De Morgan, William	victoria and albert museum	VA_O1104616
De Morgan, William	victoria and albert museum	VA_O1104504
De Morgan, William	victoria and albert museum	VA_O1104637
De Morgan, William	victoria and albert museum	VA_O1104628
De Morgan, William	victoria and albert museum	VA_O1104581
De Morgan, William	victoria and albert museum	VA_O1104554
De Morgan, William	victoria and albert museum	VA_O1104553
De Morgan, William	victoria and albert museum	VA_O1104595
De Morgan, William	victoria and albert museum	VA_O1104537
De Morgan, William	victoria and albert museum	VA_O1104534
De Morgan, William	victoria and albert museum	VA_O1104611
De Morgan, William	victoria and albert museum	VA_O1104647
De Morgan, William	victoria and albert museum	VA_O1104518
